store	incpt	b_price	b_disp
"ALBANY,NY - PRICE CHOPPER"	10.75295853	-3.922282217	1.110119882
ATLANTA - KROGER CO	10.20083582	-1.698533201	1.108321277
ATLANTA - WINN DIXIE	10.03110747	-2.077977042	-0.508453882
BALTI/WASH - GIANT FOOD INC	12.55658096	-3.167121132	0.523215683
BALTI/WASH - SAFEWAY	11.2583549	-2.227249705	2.546026506
BALTI/WASH - SUPER FRESH	11.01928001	-2.960784863	3.586167174
BIRMINGHAM/MONTGOM - BRUNOS	10.83341214	-1.836942635	-0.147821336
BIRMINGHAM/MONTGOM - KROGER	8.556321263	-1.188152077	0.168100827
BIRMINGHAM/MONTGOM - WINN DIXIE	10.54499146	-2.40081532	1.005509197
BOSTON - SHAWS	10.0667785	-2.482537122	1.372947702
BOSTON - STAR MARKET	10.35621353	-3.327732602	4.144945713
BOSTON - STOP & SHOP	11.06810875	-3.506529801	1.232081431
BUFFALO/ROCHESTER - TOPS MARKETS	12.35892223	-4.052010688	1.649818295
BUFFALO/ROCHESTER - WEGMANS	12.80455665	-4.165104028	0.81866488
CHARLOTTE - BI LO	8.971147256	-1.87248185	0.459670325
CHARLOTTE - FOOD LION	9.698814751	-1.479093389	0.416237833
CHARLOTTE - HARRIS TEETER	8.981358983	-1.702674266	1.159159766
CHARLOTTE - WINN DIXIE	9.198393073	-1.441749827	0.15402716
CHICAGO - DOMINICK	11.946789	-2.8342678	0.479053995
CHICAGO - JEWEL	12.13707988	-2.180528753	1.07387906
CHICAGO - OMNI	10.81441246	-2.821795627	1.080505916
CINCINNATI - KROGER CO	11.01194885	-2.268932033	-0.2160351
CLEVELAND - STOP N SHOP	9.996387509	-1.842797413	0.473938845
"COLUMBUS,OH - BIG BEAR"	10.53951749	-2.777893776	0.660653955
"COLUMBUS,OH - KROGER CO"	10.44937672	-2.348091487	1.087378703
DALLAS/FT. WORTH - ALBERTSONS	10.06191291	-1.682949453	0.573246531
DALLAS/FT. WORTH - KROGER CO	10.61294655	-2.331003269	1.607406531
DALLAS/FT. WORTH - TOM THUMB	10.13175276	-1.860718858	0.438455444
DALLAS/FT. WORTH - WINN DIXIE	10.61265051	-3.415046594	0.333442779
DENVER - KING SOOPERS INC	11.37248127	-2.46939881	1.238318786
DETROIT - FARMER JACKS	12.01112282	-3.287002358	1.801032318
DETROIT - KROGER CO	10.69666968	-2.236886002	1.999505193
HARRISBURG/SCRANTN - GIANT FOOD STO	8.794668016	-1.652491058	0.561713726
HARTFORD - STOP & SHOP	11.78905851	-3.598214505	1.326894087
HOUSTON - KROGER CO	10.30732003	-1.281006501	1.571971132
HOUSTON - RANDALLS	10.62339886	-2.001273488	2.097503417
INDIANAPOLIS - KROGER CO	10.08346426	-1.960295105	0.457447089
"JACKSONVILLE,FL - FOOD LION"	7.970525479	-0.894064646	-0.021614333
"JACKSONVILLE,FL - PUBLIX"	9.468555452	-2.010834005	0.233005864
"JACKSONVILLE,FL - WINN DIXIE"	9.794613131	-1.845576759	1.177711126
LITTLE ROCK - HARVEST FOODS	9.71399056	-2.160458921	0.47301338
LOS ANGELES - LUCKY	11.35426338	-1.927377681	1.888424167
LOS ANGELES - RALPHS	10.5902068	-1.715159172	0.564263781
LOS ANGELES - VONS	11.93809169	-2.525412722	1.595760287
LOUISVILLE - KROGER CO	10.99192846	-3.150935941	0.718853632
LOUISVILLE - WINN DIXIE	9.5375581	-2.18271012	0.215085869
MIAMI - PUBLIX	10.9380994	-1.785909737	0.659727876
MIAMI - WINN DIXIE	10.84562453	-2.007507044	0.765622657
MILWAUKEE - KOHLS FOOD STORE	10.03000045	-2.249335879	2.843789708
NASHVILLE - KROGER CO	9.540234032	-1.577522496	0.343082146
NEW ENGLAND (NORTH) - SHOP N SAVE	10.1942401	-2.065129892	0.513133616
NEW ORLEANS - WINN DIXIE	10.51344645	-2.245985123	0.988595629
NEW YORK (NEW) - A & P	10.56327318	-1.675590719	6.849085679
NEW YORK (NEW) - PATHMARK	11.75759687	-2.650642614	3.939066266
