fy	gdp	debt_gross	debt_pub_all_other	debt_pub_fed_res	debt_gov_fed_accts
1940	98.2	50.696	40.314	2.458	7.924
1941	116.2	57.531	46.043	2.18	9.308
1942	147.7	79.2	65.113	2.64	11.447
1943	184.6	142.648	120.617	7.149	14.882
1944	213.8	204.079	169.897	14.899	19.283
1945	226.4	260.123	213.39	21.792	24.941
1946	228	270.991	218.078	23.783	29.13
1947	238.9	257.149	202.467	21.872	32.81
1948	262.4	252.031	194.904	21.366	35.761
1949	276.8	252.61	194.979	19.343	38.288
1950	279	256.853	200.692	18.331	37.83
1951	327.4	255.288	191.344	22.982	40.962
1952	357.5	259.097	191.852	22.906	44.339
1953	382.5	265.963	193.637	24.746	47.58
1954	387.7	270.812	199.462	25.037	46.313
1955	407	274.366	203.009	23.607	47.751
1956	439	272.693	198.398	23.758	50.537
1957	464.2	272.252	196.285	23.035	52.931
1958	474.3	279.666	200.898	25.438	53.329
1959	505.6	287.465	208.657	26.044	52.764
1960	535.1	290.525	210.317	26.523	53.686
1961	547.6	292.648	211.104	27.253	54.291
1962	586.9	302.928	218.347	29.663	54.918
1963	619.3	310.324	221.951	32.027	56.345
1964	662.9	316.059	222.055	34.794	59.21
1965	710.7	322.318	221.678	39.1	61.54
1966	781.9	328.498	221.545	42.169	64.784
1967	838.2	340.445	219.907	46.719	73.819
1968	899.3	368.685	237.315	52.23	79.14
1969	982.3	365.769	224.013	54.095	87.661
1970	1049.1	380.921	225.484	57.714	97.723
1971	1119.3	408.176	237.519	65.518	105.14
1972	1219.5	435.936	250.951	71.426	113.559
1973	1356	466.291	265.729	75.181	125.381
1974	1486.2	483.893	263.051	80.648	140.194
1975	1610.6	541.925	309.707	84.993	147.225
1976	1790.3	628.97	382.69	94.714	151.566
1977	2028.4	706.398	444.1	105.004	157.294
1978	2278.2	776.602	491.646	115.48	169.476
1979	2570	829.467	524.712	115.594	189.161
1980	2796.8	909.041	591.077	120.846	197.118
1981	3138.4	994.828	664.944	124.466	205.418
1982	3313.9	1137.315	790.078	134.497	212.74
1983	3541.1	1371.66	981.741	155.527	234.392
1984	3952.8	1564.586	1151.853	155.122	257.611
1985	4270.4	1817.423	1337.454	169.806	310.163
1986	4536.1	2120.501	1549.767	190.855	379.878
1987	4781.9	2345.956	1677.713	212.04	456.203
1988	5155.1	2601.104	1822.398	229.218	549.487
1989	5570	2867.8	1970.628	220.088	677.084
1990	5914.6	3206.29	2177.147	234.41	794.733
1991	6110.1	3598.178	2430.408	258.591	909.179
1992	6434.7	4001.787	2703.341	296.397	1002.05
1993	6794.9	4351.044	2922.744	325.653	1102.647
1994	7197.8	4643.307	3077.915	355.15	1210.242
1995	7583.4	4920.586	3230.264	374.114	1316.208
1996	7978.3	5181.465	3343.149	390.924	1447.392
1997	8483.2	5369.206	3347.826	424.518	1596.862
1998	8954.8	5478.189	3262.917	458.182	1757.09
1999	9510.5	5605.523	3135.719	496.644	1973.16
2000	10148.2	5628.7	2898.391	511.413	2218.896
2001	10564.6	5769.881	2785.48	534.135	2450.266
2002	10876.9	6198.401	2936.235	604.191	2657.974
2003	11332.4	6760.014	3257.327	656.116	2846.57
2004	12088.6	7354.657	3595.203	700.341	3059.113
2005	12888.9	7905.3	3855.852	736.36	3313.088
2006	13684.7	8451.35	4060.048	768.924	3622.378
2007	14322.9	8950.744	4255.497	779.632	3915.615
2008	14752.4	9986.082	5311.923	491.127	4183.032
2009	14414.6	11875.851	6775.547	769.16	4331.144
2010	14798.5	13528.807	8207.213	811.669	4509.926
2011	15379.2	14764.222	8463.527	1664.66	4636.035
2012	16026.4	16050.921	9635.846	1645.285	4769.79
2013	16581.6	16719.434	9910.43	2072.283	4736.721
2014	17244	17794.483	10328.134	2451.743	5014.605
