id	obama	romney	other	total	obama_pct	romney_pct	obama_margin
Baker County	2369	5702	377	8448	0.280421402	0.674952652	-0.39453125
Benton County	27776	14991	2035	44802	0.619972323	0.334605598	0.285366725
Clackamas County	95493	88592	5247	189332	0.504367989	0.467918788	0.0364492
Clatsop County	9861	7249	708	17818	0.553429117	0.406835784	0.146593333
Columbia County	12004	10772	1099	23875	0.50278534	0.451183246	0.051602094
Coos County	12845	14673	1168	28686	0.447779405	0.511503869	-0.063724465
Crook County	3104	6790	336	10230	0.30342131	0.663734115	-0.360312805
Curry County	4625	6598	455	11678	0.396043843	0.564994006	-0.168950163
Deschutes County	36961	42463	2476	81900	0.451294261	0.518473748	-0.067179487
Douglas County	17145	30776	1882	49803	0.34425637	0.617954742	-0.273698372
Gilliam County	371	639	51	1061	0.349670123	0.602262017	-0.252591894
Grant County	853	2926	132	3911	0.218102787	0.748146254	-0.530043467
Harney County	832	2607	144	3583	0.232207647	0.727602568	-0.49539492
Hood River County	6058	3429	351	9838	0.615775564	0.348546453	0.267229112
Jackson County	44468	49020	3639	97127	0.457833558	0.504700032	-0.046866474
Jefferson County	3301	4642	232	8175	0.403792049	0.567828746	-0.164036697
Josephine County	14953	23673	1612	40238	0.371613897	0.588324469	-0.216710572
Klamath County	8302	18898	952	28152	0.294899119	0.671284456	-0.376385337
Lake County	770	2808	132	3710	0.20754717	0.756873315	-0.549326146
Lane County	102652	62509	6689	171850	0.597334885	0.363741635	0.23359325
Lincoln County	13401	8686	897	22984	0.583057779	0.377915071	0.205142708
Linn County	20378	28944	2104	51426	0.396258702	0.562828141	-0.16656944
Malheur County	2759	6851	346	9956	0.277119325	0.688127762	-0.411008437
Marion County	56376	60190	3810	120376	0.468332558	0.500016615	-0.031684057
Morrow County	1202	2532	148	3882	0.309634209	0.652241113	-0.342606904
Multnomah County	274887	75302	14533	364722	0.753689111	0.206464101	0.54722501
Polk County	16292	17819	1146	35257	0.462092634	0.505403182	-0.043310548
Sherman County	319	678	29	1026	0.310916179	0.660818713	-0.349902534
Tillamook County	6293	5684	542	12519	0.502675933	0.454029875	0.048646058
Umatilla County	8584	15499	886	24969	0.343786295	0.620729705	-0.27694341
Union County	3973	7636	461	12070	0.329163215	0.632642916	-0.303479702
Wallowa County	1253	2804	148	4205	0.297978597	0.666825208	-0.368846611
Wasco County	5211	5229	433	10873	0.479260554	0.480916031	-0.001655477
Washington County	135291	93974	7758	237023	0.570792708	0.396476291	0.174316417
Wheeler County	266	545	47	858	0.31002331	0.635198135	-0.325174825
Yamhill County	19260	22045	1602	42907	0.448877805	0.513785629	-0.064907824
